ticker,origin_date,last_close,pred_final,actual_final,pred_return_pct,actual_return_pct,direction_correct,pct_error,in_80pct_band
AAPL,2026-05-05,284.18,259.93,310.26,-8.53,9.18,False,16.22,False
AAPL,2026-04-07,253.5,275.34,284.18,8.62,12.1,True,3.11,True
AAPL,2026-03-09,259.88,255.73,253.5,-1.6,-2.45,True,0.88,True
AAPL,2026-02-06,278.12,223.37,259.88,-19.69,-6.56,True,14.05,False
AAPL,2026-01-08,259.04,240.34,278.12,-7.22,7.37,False,13.58,False
AAPL,2025-12-09,277.18,223.48,259.04,-19.37,-6.54,True,13.73,False
MSFT,2026-05-05,411.38,407.35,427.34,-0.98,3.88,False,4.68,False
MSFT,2026-04-07,372.29,410.22,411.38,10.19,10.5,True,0.28,True
MSFT,2026-03-09,409.41,430.87,372.29,5.24,-9.07,False,15.74,False
MSFT,2026-02-06,401.14,425.05,409.41,5.96,2.06,True,3.82,False
MSFT,2026-01-08,478.11,500.15,401.14,4.61,-16.1,False,24.68,False
MSFT,2025-12-09,492.02,501.37,478.11,1.9,-2.83,False,4.87,False
NVDA,2026-05-05,196.5,185.98,214.75,-5.35,9.29,False,13.4,False
NVDA,2026-04-07,178.1,182.48,196.5,2.46,10.33,True,7.14,False
NVDA,2026-03-09,182.65,184.65,178.1,1.09,-2.49,False,3.68,True
NVDA,2026-02-06,185.41,164.33,182.65,-11.37,-1.49,True,10.03,False
NVDA,2026-01-08,185.04,172.35,185.41,-6.86,0.2,False,7.04,False
NVDA,2025-12-09,184.97,160.29,185.04,-13.34,0.04,False,13.38,False
JPM,2026-05-05,309.4,308.0,300.85,-0.45,-2.76,True,2.38,True
JPM,2026-04-07,297.4,299.24,309.4,0.62,4.03,True,3.28,False
JPM,2026-03-09,289.92,304.65,297.4,5.08,2.58,True,2.44,False
JPM,2026-02-06,322.4,285.91,289.92,-11.32,-10.07,True,1.38,True
JPM,2026-01-08,329.79,296.09,322.4,-10.22,-2.24,True,8.16,False
JPM,2025-12-09,300.51,277.6,329.79,-7.62,9.74,False,15.82,False
XOM,2026-05-05,154.88,128.93,152.53,-16.76,-1.52,True,15.47,False
XOM,2026-04-07,163.91,122.33,154.88,-25.36,-5.51,True,21.01,False
XOM,2026-03-09,150.44,111.28,163.91,-26.03,8.95,False,32.11,False
XOM,2026-02-06,149.05,109.29,150.44,-26.67,0.93,False,27.35,False
XOM,2026-01-08,122.91,110.64,149.05,-9.98,21.27,False,25.77,False
XOM,2025-12-09,118.25,113.49,122.91,-4.03,3.94,False,7.67,False
CBA.AX,2026-05-07,179.23,173.54,163.08,-3.17,-9.01,True,6.41,False
CBA.AX,2026-04-09,182.53,171.56,179.23,-6.01,-1.81,True,4.28,False
CBA.AX,2026-03-10,171.8,171.03,182.53,-0.45,6.25,False,6.3,False
CBA.AX,2026-02-10,158.74,150.05,171.8,-5.48,8.23,False,12.66,False
CBA.AX,2026-01-12,154.08,154.58,158.74,0.32,3.02,True,2.62,False
CBA.AX,2025-12-10,153.82,150.17,154.08,-2.37,0.17,False,2.54,False
BHP.AX,2026-05-07,58.52,45.6,62.79,-22.07,7.3,False,27.37,False
BHP.AX,2026-04-09,54.56,44.51,58.52,-18.42,7.26,False,23.94,False
BHP.AX,2026-03-10,51.23,38.88,54.56,-24.1,6.5,False,28.73,False
BHP.AX,2026-02-10,50.26,37.74,51.23,-24.91,1.93,False,26.34,False
BHP.AX,2026-01-12,46.51,40.79,50.26,-12.3,8.06,False,18.84,False
BHP.AX,2025-12-10,44.54,40.35,46.51,-9.4,4.42,False,13.24,False
CSL.AX,2026-05-07,122.0,158.8,92.93,30.16,-23.83,False,70.88,False
CSL.AX,2026-04-09,140.23,179.92,122.0,28.3,-13.0,False,47.47,False
CSL.AX,2026-03-10,144.56,194.77,140.23,34.74,-3.0,False,38.9,False
CSL.AX,2026-02-10,171.39,202.16,144.56,17.95,-15.65,False,39.85,False
CSL.AX,2026-01-12,175.1,207.81,171.39,18.68,-2.12,False,21.25,False
CSL.AX,2025-12-10,181.63,216.26,175.1,19.07,-3.6,False,23.51,False
MQG.AX,2026-05-07,241.87,214.12,235.49,-11.47,-2.64,True,9.08,False
MQG.AX,2026-04-09,223.89,209.39,241.87,-6.48,8.03,False,13.43,False
MQG.AX,2026-03-10,198.53,205.56,223.89,3.54,12.77,True,8.18,False
MQG.AX,2026-02-10,214.5,216.79,198.53,1.07,-7.45,False,9.2,False
MQG.AX,2026-01-12,205.43,203.05,214.5,-1.16,4.42,False,5.34,False
MQG.AX,2025-12-10,193.63,203.18,205.43,4.93,6.09,True,1.09,True
WES.AX,2026-05-07,73.69,76.27,78.8,3.5,6.93,True,3.21,False
WES.AX,2026-04-09,76.52,78.37,73.69,2.41,-3.7,False,6.35,False
WES.AX,2026-03-10,75.46,82.01,76.52,8.68,1.4,True,7.17,False
WES.AX,2026-02-10,87.28,85.67,75.46,-1.85,-13.54,True,13.53,False
WES.AX,2026-01-12,82.23,81.41,87.28,-0.99,6.14,False,6.72,False
WES.AX,2025-12-10,81.1,82.77,82.23,2.05,1.39,True,0.65,True
